"","year","meankpg"
"1",1901,3.13445127660589
"2",1902,2.96067116900585
"3",1903,3.56269101971334
"4",1904,3.71582070478559
"5",1905,3.86453704391486
"6",1906,3.7065364702745
"7",1907,3.50832040261631
"8",1908,3.64289280113543
"9",1909,3.76950427922142
"10",1910,3.87831365289793
"11",1911,3.99257874247516
"12",1912,3.95462356966102
"13",1913,3.76099554737074
"14",1914,3.88611695127641
"15",1915,3.85352500338039
"16",1916,3.82275262488796
"17",1917,3.48058690814378
"18",1918,2.91495036777428
"19",1919,3.06237776898314
"20",1920,2.93649383309606
"21",1921,2.83051793671114
"22",1922,2.80780795145715
"23",1923,2.84759707175114
"24",1924,2.6985739384014
"25",1925,2.71412307656737
"26",1926,2.74673318640916
"27",1927,2.78757540458118
"28",1928,2.88304868668927
"29",1929,2.8392298463887
"30",1930,3.21427530802531
"31",1931,3.19379073580331
"32",1932,3.19402554547054
"33",1933,3.03669413535698
"34",1934,3.44716953970161
"35",1935,3.25844237275571
"36",1936,3.32521792644588
"37",1937,3.6329606131831
"38",1938,3.40606367969302
"39",1939,3.45052153574765
"40",1940,3.66009984432894
"41",1941,3.54857334296414
"42",1942,3.40059299784635
"43",1943,3.45189965898225
"44",1944,3.29537479522413
"45",1945,3.27250758122435
"46",1946,3.90372886564843
"47",1947,3.68317711814406
"48",1948,3.6437929144701
"49",1949,3.6093990100886
"50",1950,3.8599881813261
"51",1951,3.7662995870156
"52",1952,4.18938129879161
"53",1953,4.11948803920453
"54",1954,4.12874608590334
"55",1955,4.37745205063753
"56",1956,4.64257270963404
"57",1957,4.8366428381075
"58",1958,4.94978244399497
"59",1959,5.09091376977074
"60",1960,5.18370429973253
"61",1961,5.22819668330298
"62",1962,5.41971519478841
"63",1963,5.79756986342743
"64",1964,5.90730848310528
"65",1965,5.94021875571516
"66",1966,5.82262887309033
"67",1967,5.99198664961665
"68",1968,5.89033621996938
"69",1969,5.77394224585698
"70",1970,5.75484689313192
"71",1971,5.40753207844663
"72",1972,5.5736847588247
"73",1973,5.23876300385962
"74",1974,5.01121154353683
"75",1975,4.98397809281527
"76",1976,4.83240206624584
"77",1977,5.16457415370459
"78",1978,4.77085123195599
"79",1979,4.77250013130672
"80",1980,4.80103022973177
"81",1981,4.74461382476187
"82",1982,5.03602473796748
"83",1983,5.14864483013767
"84",1984,5.34426632612816
"85",1985,5.33770911242681
"86",1986,5.8742428652977
"87",1987,5.96172574071125
"88",1988,5.56057234932074
"89",1989,5.61506740262637
"90",1990,5.66582022379124
"91",1991,5.79592761807436
"92",1992,5.58831908831909
"93",1993,5.79785303123749
"94",1994,6.17489861648158
"95",1995,6.30320997249877
"96",1996,6.46377496248097
"97",1997,6.60518611631448
"98",1998,6.55671646869892
"99",1999,6.40862024895841
"100",2000,6.45461171773966
"101",2001,6.67025790455742
"102",2002,6.4707716688393
"103",2003,6.33777554477
"104",2004,6.55460087416609
"105",2005,6.30239592011916
"106",2006,6.51569153694758
"107",2007,6.62024539877301
"108",2008,6.77257940153824
"109",2009,6.91200725445265
"110",2010,7.05884773662551
"111",2011,7.09937632594637
"112",2012,7.49506172839506
